Company_Name,Company_Age,CIBIL_Commercial_Score,GSTR_Declared_Revenue_Cr,Bank_Statement_Inflow_Cr,Litigation_Count,News_Sentiment_Score,Loan_Approved,Approved_Limit_Cr,Interest_Rate_Pct
"Saraf, Kota and Borra",17,564,370.71,399.85,2,-0.54,0,0.0,0.0
"Chand, Kashyap and Thaman",22,376,224.44,351.51,0,-0.62,0,0.0,0.0
Chopra-Natt,1,631,197.48,179.6,0,0.48,1,28.59,11.35
Zachariah-Sheth,14,827,394.31,356.3,0,0.65,1,68.59,8.87
Chander-Ratti,48,573,494.72,512.45,0,-0.48,0,0.0,0.0
"Shan, Dayal and Natarajan",36,606,262.49,266.01,0,-0.38,1,37.9,9.97
Bhagat-Patel,29,710,147.5,136.3,3,-0.96,0,0.0,0.0
Kalla Group,47,388,124.59,128.88,1,-0.0,0,0.0,0.0
Joshi Group,34,881,204.14,215.71,0,-0.25,1,39.34,8.6
Venkataraman-Dhingra,31,702,58.54,64.24,0,0.32,1,12.07,9.49
"Bedi, Sachdeva and Dubey",1,307,103.03,95.49,0,-0.55,0,0.0,0.0
Jain PLC,10,567,78.89,74.8,2,-0.21,0,0.0,0.0
Oak-Rajan,37,509,107.6,104.97,0,-0.87,0,0.0,0.0
"Kala, Ramesh and Chander",6,846,465.79,429.54,3,-0.06,0,0.0,0.0
"Chander, Sami and Krish",39,565,406.36,445.45,0,-0.79,0,0.0,0.0
"Gera, Kurian and Sen",19,677,489.43,511.61,0,-0.32,1,64.2,9.62
Choudhury-Tandon,25,533,487.85,513.36,0,-0.35,0,0.0,0.0
Mukhopadhyay-Pillai,32,608,352.86,373.52,0,-0.95,0,0.0,0.0
Garde-Pai,13,617,169.81,270.92,1,0.84,0,0.0,0.0
Sibal-Ramesh,30,543,127.37,140.01,0,-0.58,0,0.0,0.0
Chaudhary Ltd,31,870,380.41,344.04,0,0.22,1,73.03,8.65
"Chaudry, Krishna and Pal",14,328,296.52,297.74,0,-0.95,0,0.0,0.0
"Doctor, Mohan and Mani",45,564,17.44,18.22,2,0.34,0,0.0,0.0
Brar Ltd,12,554,226.34,223.49,1,0.66,0,0.0,0.0
Munshi Group,40,865,19.03,20.28,0,-0.92,0,0.0,0.0
"Goswami, Chawla and Wadhwa",44,542,172.19,169.38,0,0.21,0,0.0,0.0
Ramachandran Inc,23,610,43.94,41.06,0,0.09,1,6.16,9.95
Kade-Mangal,19,736,67.34,72.77,0,0.61,1,11.5,9.32
Sundaram Inc,4,883,89.14,86.2,0,-0.95,0,0.0,0.0
"Muni, Lal and Sarkar",26,672,440.51,400.43,0,0.92,1,69.79,9.64
Guha LLC,10,555,382.47,407.97,0,1.0,0,0.0,0.0
"Chandra, Hegde and Shukla",24,772,184.08,166.05,3,0.73,0,0.0,0.0
"Nagarajan, Barad and Mangat",7,734,82.38,81.34,0,-0.66,0,0.0,0.0
"Bath, Reddy and Sheth",27,526,84.5,81.81,1,0.12,0,0.0,0.0
Kala PLC,22,471,353.03,338.31,3,0.49,0,0.0,0.0
"Manne, Koshy and Bava",9,411,353.53,611.32,0,0.86,0,0.0,0.0
Pillai-Dutt,45,680,271.5,269.03,0,-0.24,1,39.61,9.6
Shah-Srivastava,44,846,228.83,212.06,1,-0.7,0,0.0,0.0
Dewan-Nayar,5,325,10.71,14.55,0,-0.74,0,0.0,0.0
Kar-Thakur,11,307,136.79,136.71,1,0.34,0,0.0,0.0
Sankaran Inc,15,617,374.92,341.41,0,0.97,1,42.36,9.91
Murthy and Sons,1,891,142.84,237.88,2,0.48,0,0.0,0.0
Chaudhari and Sons,35,387,478.62,462.34,1,0.99,0,0.0,0.0
Mander-Goswami,30,608,221.2,222.09,0,-0.11,1,25.07,9.96
Jha LLC,40,577,326.8,336.84,2,0.86,0,0.0,0.0
"Mishra, Mohan and Kakar",13,646,384.05,352.67,1,-0.73,0,0.0,0.0
Dubey Inc,40,776,434.4,415.94,0,0.74,1,73.67,9.12
Chowdhury Inc,31,763,486.25,452.54,2,-0.42,1,64.67,9.19
Dhaliwal-Cherian,11,469,28.96,26.92,0,-0.67,0,0.0,0.0
Murty-Srivastava,12,873,397.95,410.79,0,-0.22,1,84.55,8.63
Trivedi LLC,25,854,394.74,196.25,0,0.76,0,0.0,0.0
Rege-Srinivasan,24,785,403.11,209.38,0,-0.22,0,0.0,0.0
"Barad, Ramanathan and Jani",44,442,480.01,664.11,0,-0.29,0,0.0,0.0
"Verma, Ravel and Chanda",4,326,132.21,136.55,1,-0.41,0,0.0,0.0
"Mohan, Khurana and Om",42,559,450.46,445.79,0,-0.46,0,0.0,0.0
"Patla, Chaudhari and Sarna",3,541,39.58,40.99,0,0.54,0,0.0,0.0
"Subramanian, Mukherjee and Minhas",9,555,14.23,15.1,0,-0.38,0,0.0,0.0
Tailor-Cheema,28,558,369.72,482.24,0,-0.27,0,0.0,0.0
"Talwar, Dugal and Basak",1,686,5.67,3.55,0,0.26,0,0.0,0.0
Zachariah PLC,41,629,439.36,432.17,0,0.9,1,74.25,9.86
"Divan, Sridhar and Sahni",27,328,12.42,11.58,1,-0.96,0,0.0,0.0
"Chacko, Kata and Kari",34,395,142.13,152.43,0,-0.93,0,0.0,0.0
Baria-Khare,45,427,401.18,233.47,0,-0.45,0,0.0,0.0
"Kata, Walla and Sethi",13,756,270.42,267.67,0,-0.61,0,0.0,0.0
"Baral, Nadkarni and Luthra",44,343,294.01,286.45,0,0.76,0,0.0,0.0
"Sampath, Datta and Sant",35,766,208.99,189.58,1,-0.65,0,0.0,0.0
Anne Group,23,509,406.31,442.65,0,-0.35,0,0.0,0.0
Dave Group,10,830,356.42,157.95,0,0.21,0,0.0,0.0
Brar-Chacko,28,766,161.25,147.93,0,-0.47,1,19.04,9.17
Dube Ltd,10,641,304.85,333.07,2,0.66,1,43.24,9.79
"Talwar, Narasimhan and Bava",33,513,375.36,405.84,0,0.01,0,0.0,0.0
Parmar and Sons,34,549,417.3,437.56,0,0.8,0,0.0,0.0
"Nayar, Mangal and Balakrishnan",36,585,433.53,452.99,0,-0.65,0,0.0,0.0
Dora Ltd,8,885,129.77,128.58,0,-0.82,0,0.0,0.0
Dada PLC,21,834,144.67,136.95,1,-0.04,1,30.86,8.83
Som Ltd,19,813,375.22,352.48,0,-0.23,1,71.31,8.94
Mane-Sarin,22,603,369.64,341.07,0,-0.86,0,0.0,0.0
Sule-Thakkar,37,888,134.21,135.23,0,0.07,1,29.42,8.56
Kota and Sons,16,560,119.17,59.79,0,0.32,0,0.0,0.0
"Chauhan, Ben and Issac",19,691,12.97,11.98,3,0.02,0,0.0,0.0
Bhatia-Balay,32,555,221.45,217.18,0,0.53,0,0.0,0.0
Sidhu Ltd,40,663,77.72,78.53,0,-0.69,0,0.0,0.0
"Rattan, Oak and Muni",16,498,203.97,218.07,0,-0.29,0,0.0,0.0
Chaudhari PLC,32,539,174.42,159.9,2,-0.4,0,0.0,0.0
"Prashad, Shan and Sengupta",11,587,167.86,164.22,1,0.02,0,0.0,0.0
Sood-Kunda,45,402,157.85,151.3,0,0.12,0,0.0,0.0
Mangat-Sheth,25,701,96.78,97.01,0,-0.01,1,12.42,9.49
"Nath, Pandey and Bhasin",24,761,66.55,62.75,0,0.63,1,12.53,9.2
Dalal-Chahal,46,825,417.18,392.22,1,-0.55,0,0.0,0.0
Mani-Gade,5,786,462.7,426.84,0,0.17,1,72.43,10.57
Gade Ltd,33,396,163.23,173.36,0,-0.8,0,0.0,0.0
Kunda Inc,4,777,416.73,456.78,0,0.16,1,62.11,10.62
Wagle Group,12,895,184.96,186.12,0,-0.14,1,31.39,8.53
"Ahluwalia, Muni and Virk",14,433,111.74,60.88,0,0.14,0,0.0,0.0
Cherian-Minhas,48,394,420.4,433.26,0,0.69,0,0.0,0.0
"Chanda, Chad and Talwar",43,440,117.57,109.84,0,0.79,0,0.0,0.0
"Bhat, Arya and Mody",40,845,379.12,164.68,0,-0.57,0,0.0,0.0
Goda-Koshy,5,650,493.61,499.23,1,0.55,1,85.64,11.25
Naik LLC,34,469,283.18,267.0,0,0.31,0,0.0,0.0
Chowdhury Inc,25,424,402.8,405.35,0,0.22,0,0.0,0.0
Kibe PLC,30,831,88.27,91.69,0,0.52,1,19.25,8.85
Dube PLC,10,310,307.89,300.1,0,-0.08,0,0.0,0.0
"Subramanian, Ramakrishnan and Nath",29,875,173.49,172.68,5,-0.78,0,0.0,0.0
"Kala, Tara and Doshi",32,890,129.15,134.05,0,-0.68,0,0.0,0.0
"Pillai, Mohan and Minhas",5,460,146.9,142.99,0,-0.79,0,0.0,0.0
Bora-Sura,33,649,24.24,25.01,0,0.04,1,3.39,9.75
Anand-Bakshi,4,361,498.51,491.09,1,-0.09,0,0.0,0.0
Sethi-Joshi,45,763,290.68,302.45,0,-0.15,1,49.16,9.19
"Jaggi, Jhaveri and Gala",9,325,261.13,257.6,0,0.68,0,0.0,0.0
Madan PLC,40,380,182.1,198.18,3,0.62,0,0.0,0.0
"Choudhry, Divan and Date",28,891,254.67,252.85,0,0.77,1,56.36,8.54
Grewal-Reddy,37,726,260.99,254.2,1,-0.59,0,0.0,0.0
"Pillai, Dyal and Chokshi",23,657,237.57,229.53,0,0.96,1,28.92,9.71
Saran LLC,21,423,40.16,24.52,0,-0.83,0,0.0,0.0
Setty Ltd,23,449,192.21,195.15,0,-0.42,0,0.0,0.0
"Bala, Bassi and Shukla",17,664,406.56,384.01,0,-0.08,1,51.73,9.68
"Banik, Memon and Maharaj",48,361,204.05,209.92,0,0.76,0,0.0,0.0
"Datta, Bhardwaj and Swamy",32,465,481.07,796.12,0,0.49,0,0.0,0.0
Agate PLC,23,729,137.94,145.57,0,0.23,1,22.46,9.36
"Nath, Badami and Badal",42,880,20.52,19.17,0,0.67,1,4.28,8.6
Dixit-Parsa,42,535,318.99,339.3,0,-0.36,0,0.0,0.0
Bhatia Group,37,461,454.95,675.27,1,0.71,0,0.0,0.0
Bal PLC,43,627,139.13,133.16,0,-0.45,1,15.77,9.87
Patla Group,26,606,467.65,421.69,0,0.34,1,55.64,9.97
Toor-Kota,13,880,158.86,174.25,1,-0.04,1,29.07,8.6
Saraf PLC,12,617,480.16,497.31,0,-0.05,1,82.94,9.91
"Ranganathan, Bakshi and Kashyap",46,669,351.9,381.94,1,-0.99,0,0.0,0.0
"Sarkar, Subramanian and Bose",32,758,168.06,169.3,0,0.18,1,28.98,9.21
Gulati-Deshmukh,36,310,445.7,435.36,2,-0.09,0,0.0,0.0
Ganesh-Oza,42,771,186.75,168.78,0,0.39,1,31.79,9.14
Gulati-Issac,22,711,248.8,269.44,0,-0.92,0,0.0,0.0
Desai-Sinha,23,778,438.96,414.05,5,-0.47,0,0.0,0.0
Sabharwal Inc,23,314,220.16,212.71,0,0.91,0,0.0,0.0
Dhaliwal-Dube,14,349,158.33,159.02,0,-0.42,0,0.0,0.0
Saraf-Pall,17,648,259.12,167.07,0,0.22,0,0.0,0.0
"Apte, Salvi and Dube",42,554,114.64,114.92,3,0.8,0,0.0,0.0
"Ramesh, Panchal and Mane",6,366,472.0,226.34,0,0.5,0,0.0,0.0
"Devi, Sood and Bala",32,683,129.94,135.96,0,0.42,1,19.27,9.59
Bir-Warrior,24,534,403.48,392.98,2,0.23,0,0.0,0.0
Roy Inc,18,518,41.79,58.05,0,-0.25,0,0.0,0.0
Aurora and Sons,33,854,267.41,248.04,0,0.39,1,43.4,8.73
Kar PLC,29,742,422.5,444.62,2,0.3,1,86.37,9.29
Gara PLC,48,758,177.13,190.47,1,-0.67,0,0.0,0.0
Nagi-Sha,8,324,212.53,199.52,1,0.58,0,0.0,0.0
Sheth Inc,32,850,99.93,90.94,0,-0.18,1,20.41,8.75
Goda-Dhar,36,348,93.24,102.31,2,0.63,0,0.0,0.0
Kari-Shan,45,512,474.81,522.16,0,-0.98,0,0.0,0.0
"Sangha, Nayak and Patla",49,815,246.73,223.17,0,-0.67,0,0.0,0.0
Parekh PLC,22,649,119.98,120.82,0,0.51,1,14.03,9.75
"Sarkar, Saha and Pathak",29,859,40.08,40.87,2,0.1,1,8.13,8.71
"Menon, Pau and Tandon",49,568,474.79,501.11,1,0.65,0,0.0,0.0
Virk Group,39,726,352.06,337.32,0,-1.0,0,0.0,0.0
"Narang, Mahal and Shere",48,411,89.74,82.64,0,0.94,0,0.0,0.0
Peri Inc,26,480,79.7,84.37,0,-0.85,0,0.0,0.0
Saran PLC,10,708,413.47,397.33,0,-0.11,1,61.19,9.46
Thakkar LLC,49,820,359.2,375.12,1,-0.76,0,0.0,0.0
"Talwar, Bhakta and Raj",33,802,161.32,164.35,0,0.38,1,31.8,8.99
Ramaswamy PLC,28,565,8.85,9.3,0,0.01,0,0.0,0.0
"Banik, Vig and Nayak",36,810,151.55,157.93,0,-0.58,0,0.0,0.0
Sant-Nair,43,594,235.04,417.26,0,0.9,0,0.0,0.0
"Sinha, Ramesh and Master",15,818,17.58,23.4,0,-0.39,0,0.0,0.0
Chandra Ltd,17,508,113.28,107.46,0,-0.02,0,0.0,0.0
Sharma-Khosla,47,658,416.96,638.89,0,-0.29,0,0.0,0.0
"Agarwal, Sastry and Sengupta",34,357,467.04,454.26,0,0.55,0,0.0,0.0
Mittal LLC,39,603,298.61,279.9,0,-0.79,0,0.0,0.0
Lala-Patla,23,674,21.55,29.26,1,0.27,0,0.0,0.0
Bath LLC,2,816,414.23,381.66,1,-0.86,0,0.0,0.0
Guha-Dhaliwal,31,567,269.34,135.23,0,0.65,0,0.0,0.0
Walla-Nagy,1,822,82.16,77.34,0,-0.5,1,11.7,10.39
Cheema LLC,21,763,276.07,121.52,0,-0.19,0,0.0,0.0
Cheema Ltd,22,707,396.55,397.36,0,-0.25,1,62.36,9.46
Srinivasan-Balakrishnan,10,675,97.74,105.74,0,-0.28,1,18.46,9.62
Yogi-Barman,4,862,125.7,116.97,0,0.94,1,26.33,10.19
"Buch, Gill and Sahni",37,361,148.79,138.83,0,0.84,0,0.0,0.0
Nanda Ltd,37,715,168.5,171.71,0,0.39,1,21.9,9.43
"Sundaram, Chaudhary and Baria",11,856,146.66,137.83,0,-0.03,1,26.23,8.72
Bhattacharyya Group,10,493,337.77,356.85,0,-0.68,0,0.0,0.0
Venkataraman-Ramesh,46,821,351.06,614.73,3,-0.46,0,0.0,0.0
"Biswas, Nanda and Kakar",9,335,134.96,122.52,0,0.41,0,0.0,0.0
Brahmbhatt-Chauhan,29,766,230.38,239.51,0,0.9,1,31.98,9.17
Kapur LLC,7,703,167.82,68.34,0,-0.1,0,0.0,0.0
"Sibal, Shukla and Narasimhan",18,523,152.53,148.96,0,0.69,0,0.0,0.0
"Kothari, Bandi and Shere",21,709,278.25,173.36,1,-0.57,0,0.0,0.0
Babu-Deshpande,11,441,90.44,81.44,0,0.72,0,0.0,0.0
"Rau, Memon and Dutta",38,477,251.93,237.57,1,-0.08,0,0.0,0.0
Munshi-Lalla,48,677,171.73,173.61,0,0.68,1,23.68,9.62
"Saxena, Ahluwalia and Raman",37,574,304.28,315.62,0,-0.93,0,0.0,0.0
Garde-Dutt,44,516,416.75,430.03,3,0.68,0,0.0,0.0
Mistry-Keer,4,526,390.89,396.77,0,0.28,0,0.0,0.0
Pandey-Mahal,9,358,77.71,85.03,0,0.52,0,0.0,0.0
Muni-Chaudry,20,654,241.03,256.58,0,0.03,1,32.75,9.73
"Gupta, Chaudhry and Zachariah",36,508,453.46,411.86,0,0.29,0,0.0,0.0
Rastogi-Sami,8,572,44.01,46.32,1,0.74,0,0.0,0.0
Ahuja-Krishna,5,362,72.24,68.44,0,-0.14,0,0.0,0.0
"Vohra, Handa and Sandhu",35,533,298.91,269.96,0,-0.41,0,0.0,0.0
Seth-Singh,37,514,383.62,346.96,1,0.73,0,0.0,0.0
Dubey-Talwar,16,702,490.09,527.55,0,-0.5,1,91.3,9.49
Koshy-Kalita,5,577,63.83,57.64,1,0.72,0,0.0,0.0
"Shukla, Sidhu and Kashyap",46,800,341.9,361.73,0,-0.91,0,0.0,0.0
Goel-Issac,9,370,420.06,457.83,0,-0.2,0,0.0,0.0
"Lata, Cheema and Ranganathan",33,543,489.27,511.62,0,0.54,0,0.0,0.0
Bala-Gour,18,382,291.99,272.83,1,0.47,0,0.0,0.0
Saraf-Sarin,30,764,412.03,417.19,0,-0.44,1,59.51,9.18
Khosla-Natarajan,48,386,111.66,104.97,1,0.94,0,0.0,0.0
"Luthra, Chhabra and Oommen",29,839,431.79,452.75,2,-0.31,1,103.97,8.8
Karan Group,16,895,188.19,170.06,0,-0.47,1,41.4,8.53
Grover-Dara,15,669,155.79,157.14,0,0.16,1,25.08,9.65
"Warrior, Swaminathan and Rajagopal",1,852,389.32,222.04,3,-0.23,0,0.0,0.0
"Mutti, Dave and Batta",26,329,311.85,285.83,0,0.67,0,0.0,0.0
Vohra-Doctor,13,634,216.57,200.75,2,0.06,1,26.21,9.83
Varty LLC,42,675,177.99,186.6,0,0.14,1,27.77,9.62
"Bhatnagar, Balakrishnan and Cheema",2,721,184.4,193.16,0,0.14,1,36.08,10.89
"Sachdev, Lalla and Chaudhry",15,530,376.3,402.11,0,-0.75,0,0.0,0.0
Sastry-Sodhi,24,722,159.44,172.51,0,-0.93,0,0.0,0.0
"Lanka, Borde and Gade",46,402,227.94,219.97,2,0.8,0,0.0,0.0
Oak-Chanda,37,488,112.48,109.64,0,0.73,0,0.0,0.0
Basu Ltd,9,382,382.66,636.94,0,0.01,0,0.0,0.0
Kalita-Lalla,11,419,8.44,8.0,0,0.82,0,0.0,0.0
"Bail, Mitra and Kapadia",8,589,21.97,22.86,0,0.01,0,0.0,0.0
"Dubey, Roy and Mane",27,519,108.01,103.93,10,-0.98,0,0.0,0.0
Krish Group,46,645,313.47,311.54,0,0.79,1,53.25,9.78
Shukla Group,5,575,264.84,263.63,0,-0.48,0,0.0,0.0
Dara Group,8,518,78.33,80.74,2,0.87,0,0.0,0.0
"Master, Chakraborty and Thaman",37,609,47.94,46.38,0,-0.48,1,7.56,9.96
Jani-Toor,16,708,177.27,185.03,0,-0.87,0,0.0,0.0
"Mukhopadhyay, Rama and Virk",17,507,114.53,58.59,0,0.18,0,0.0,0.0
"Bobal, Bumb and Prakash",17,796,124.4,200.13,0,0.41,0,0.0,0.0
Sem-Natarajan,22,794,134.29,134.61,0,0.41,1,23.66,9.03
Bali-Jha,14,621,89.99,82.84,0,-0.5,1,13.66,9.89
Kalita-Pandit,43,682,431.31,400.73,0,-0.6,0,0.0,0.0
"Barad, Basu and Ratta",41,674,232.86,211.41,0,0.11,1,24.25,9.63
"Palan, Rana and Ratta",8,482,434.55,183.1,2,0.69,0,0.0,0.0
Mammen-Sabharwal,21,829,92.83,92.41,0,-0.27,1,16.46,8.86
"Jha, Bala and Chandran",9,765,239.79,234.59,0,-0.0,1,39.04,9.18
Dugal-Rajagopal,2,756,240.43,236.79,0,-0.12,1,38.71,10.72
Lata PLC,48,338,271.6,258.04,0,-0.97,0,0.0,0.0
"Dyal, Wali and More",25,660,97.87,88.51,0,0.49,1,16.13,9.7
Agarwal-Warrior,27,834,120.93,121.44,0,-0.59,0,0.0,0.0
Bandi-Kade,11,530,365.53,363.93,2,0.78,0,0.0,0.0
"Raman, Ben and Mitter",23,456,313.15,301.57,1,0.93,0,0.0,0.0
"Chandran, Narang and Bhatti",45,301,354.86,375.47,0,0.72,0,0.0,0.0
"Lad, Bali and Sampath",35,743,292.41,308.38,0,-0.57,0,0.0,0.0
Sachdev-Kumar,44,406,162.5,154.92,5,-0.96,0,0.0,0.0
Dewan-Kala,21,544,397.54,238.48,0,-0.57,0,0.0,0.0
"Chanda, Murthy and Sampath",17,655,155.6,156.05,3,0.84,0,0.0,0.0
"Srinivasan, Ramanathan and Dave",26,695,228.41,223.12,2,-0.04,1,36.59,9.53
"Pathak, Choudhary and Bala",42,704,183.43,272.83,1,-0.78,0,0.0,0.0
"Tiwari, Agarwal and Koshy",25,627,216.8,199.4,0,-0.37,1,30.24,9.87
Mann and Sons,2,864,489.24,248.4,2,0.64,0,0.0,0.0
"Subramaniam, Memon and Nazareth",3,585,498.97,474.88,2,-0.38,0,0.0,0.0
"Pillai, Raval and Datta",12,893,144.22,157.3,0,-0.55,0,0.0,0.0
"Nadig, Pandit and Dash",33,322,214.27,227.15,5,-0.88,0,0.0,0.0
Ray Ltd,1,715,153.84,155.4,0,-0.92,0,0.0,0.0
"Dube, Badal and Raman",44,349,499.15,527.15,3,-0.09,0,0.0,0.0
"Zachariah, Kumar and Prabhu",36,796,220.13,219.61,0,0.38,1,31.21,9.02
Tripathi-Sahota,40,708,220.57,201.7,0,0.76,1,37.89,9.46
Kurian-Raman,39,590,434.51,391.25,0,0.21,0,0.0,0.0
Pradhan LLC,28,305,254.1,252.31,0,0.63,0,0.0,0.0
"Purohit, Sekhon and Bhatia",12,821,130.84,140.32,5,0.74,0,0.0,0.0
Venkatesh PLC,32,304,251.08,135.87,0,-0.2,0,0.0,0.0
Tak LLC,40,451,314.96,301.53,0,-0.21,0,0.0,0.0
"Dayal, Kurian and Rout",18,322,286.08,259.87,3,-0.86,0,0.0,0.0
Lad Group,4,579,100.8,101.89,0,-0.45,0,0.0,0.0
Setty-Ben,35,527,374.14,352.09,1,-0.25,0,0.0,0.0
Oommen-Barad,4,422,46.05,47.36,0,0.0,0,0.0,0.0
Kapoor Group,43,529,313.6,303.79,0,0.89,0,0.0,0.0
Palla Ltd,15,836,5.51,5.62,0,-0.46,1,0.86,8.82
"Lalla, Dyal and Chacko",38,490,255.0,256.29,0,-0.15,0,0.0,0.0
Cherian-Sandhu,33,830,264.4,268.21,1,-0.13,1,44.39,8.85
"Om, Bala and Ramakrishnan",28,731,180.94,171.95,0,0.7,1,21.09,9.35
Sami-Patel,42,503,315.67,304.42,0,0.22,0,0.0,0.0
Kamdar-Singhal,15,805,266.67,271.48,0,0.48,1,44.15,8.97
Sehgal-Muni,9,768,229.23,229.82,0,-0.35,1,38.09,9.16
Joshi LLC,39,524,249.59,255.59,0,0.36,0,0.0,0.0
"Nadig, Bhandari and Dhaliwal",38,495,218.97,215.15,2,-0.94,0,0.0,0.0
Gupta-Devan,21,871,380.6,415.09,0,-0.82,0,0.0,0.0
Purohit-Savant,37,615,56.75,95.55,0,0.91,0,0.0,0.0
Bal Inc,23,638,83.85,82.77,1,0.02,1,9.42,9.81
"Palan, Chaudhry and Singhal",34,522,485.79,448.66,0,0.41,0,0.0,0.0
"Wadhwa, Vyas and Khanna",9,378,198.96,191.4,0,-0.55,0,0.0,0.0
Patil PLC,46,854,488.36,527.61,10,-0.06,0,0.0,0.0
"Mannan, Dalal and Chandran",17,351,267.24,112.91,0,0.55,0,0.0,0.0
Mitter Ltd,37,718,321.61,321.32,0,-0.89,0,0.0,0.0
Bains Ltd,8,789,108.15,111.64,0,0.74,1,22.0,9.05
Jani-Kapadia,48,712,445.97,302.88,0,-0.58,0,0.0,0.0
Om and Sons,18,644,251.3,226.5,0,-0.39,1,35.89,9.78
"Thaman, Suresh and Badal",12,611,279.77,293.34,3,-0.11,0,0.0,0.0
Batra Group,27,586,376.65,358.99,3,-0.57,0,0.0,0.0
"Keer, Devi and Sekhon",18,852,237.79,235.83,0,0.79,1,44.58,8.74
Sandhu-Parikh,47,533,140.95,147.45,0,0.42,0,0.0,0.0
"Chadha, Chakraborty and Devan",27,882,6.68,9.02,0,-0.59,0,0.0,0.0
"Kumer, Issac and Walia",20,498,11.92,12.57,0,-0.05,0,0.0,0.0
"Khare, Grewal and Krishna",13,641,462.69,238.89,0,0.98,0,0.0,0.0
Tak-Agate,42,646,100.54,108.24,1,-0.26,1,13.09,9.77
Memon-Dey,3,316,491.11,451.45,0,-0.77,0,0.0,0.0
Doctor-Kurian,47,788,470.39,495.05,0,-0.98,0,0.0,0.0
Wason PLC,32,381,340.99,322.65,0,-0.26,0,0.0,0.0
Jain-Lanka,40,492,92.64,95.12,0,-0.27,0,0.0,0.0
Sen and Sons,13,863,116.25,109.16,0,-0.1,1,21.77,8.69
Pradhan-Malhotra,44,743,434.53,430.28,0,0.3,1,58.76,9.29
Shankar Group,30,736,145.24,202.32,5,0.48,0,0.0,0.0
"Baral, Zacharia and Nath",49,679,317.24,322.8,0,0.4,1,47.09,9.61
"Rai, Dara and Gaba",12,649,138.65,143.31,0,-0.38,1,20.48,9.75
Nazareth-Kulkarni,9,758,183.57,108.27,2,0.02,0,0.0,0.0
Viswanathan-Badal,9,872,191.54,199.48,0,-0.96,0,0.0,0.0
Kannan-Murty,5,705,178.85,316.77,0,-0.42,0,0.0,0.0
Chatterjee-Gopal,44,635,389.31,396.78,1,0.41,1,58.16,9.82
"Bhavsar, Goel and Patla",35,522,351.65,330.67,3,-0.74,0,0.0,0.0
"Sibal, Sama and Talwar",16,453,255.58,231.33,0,-0.76,0,0.0,0.0
Raj and Sons,3,797,255.81,279.67,0,0.71,1,48.82,10.52
Saran-Ray,49,521,53.1,86.95,1,-0.01,0,0.0,0.0
Chandran Inc,14,688,56.71,56.13,0,0.11,1,8.2,9.56
Chhabra Ltd,17,503,58.53,58.61,1,0.05,0,0.0,0.0
Dayal-Aurora,16,605,37.59,54.15,0,-0.1,0,0.0,0.0
Sem Group,44,782,54.61,59.33,0,0.03,1,11.31,9.09
Dhingra-Anand,19,419,145.85,155.16,1,-0.28,0,0.0,0.0
"Som, Karpe and Bhatt",48,332,154.86,68.08,0,0.08,0,0.0,0.0
Dyal-Manne,4,785,153.49,143.06,0,-0.13,1,28.79,10.57
Sehgal Ltd,25,810,130.69,133.83,0,-0.07,1,29.76,8.95
"Panchal, Basak and Khosla",30,381,9.99,13.52,1,-0.54,0,0.0,0.0
"Banik, Subramanian and Wable",36,744,20.85,31.49,0,0.18,0,0.0,0.0
"Kapoor, Maharaj and Parmer",48,405,242.97,355.19,2,0.9,0,0.0,0.0
Mitter PLC,11,806,464.91,439.11,0,-0.84,0,0.0,0.0
"Kale, Kapoor and Chacko",11,766,430.08,262.66,0,0.05,0,0.0,0.0
"Babu, Ratti and Sami",20,749,180.18,194.29,0,-0.61,0,0.0,0.0
"Tara, Krishnan and Bumb",17,833,208.72,141.26,2,-0.37,0,0.0,0.0
Acharya Group,14,719,347.84,354.25,0,-0.92,0,0.0,0.0
Joshi and Sons,27,485,435.68,260.61,0,0.74,0,0.0,0.0
Saxena-Dasgupta,32,670,350.84,333.8,0,-0.37,1,38.58,9.65
Dhillon-Gole,15,821,322.54,346.85,0,0.92,1,55.49,8.89
Venkatesh-Rana,10,546,263.3,175.78,0,0.33,0,0.0,0.0
Rege-Bava,49,551,354.58,321.53,1,-0.02,0,0.0,0.0
Krishnamurthy-Lalla,1,594,12.76,12.55,0,0.06,0,0.0,0.0
Butala-Ramachandran,44,465,289.34,300.66,1,-0.92,0,0.0,0.0
"Shere, Saini and Rau",1,634,88.35,55.2,0,0.19,0,0.0,0.0
Nayar-Dhawan,36,780,468.89,437.67,2,0.63,1,58.16,9.1
Wason-Subramaniam,25,352,170.7,244.76,0,-0.91,0,0.0,0.0
Savant Group,14,826,267.9,129.17,10,-0.34,0,0.0,0.0
Peri-Radhakrishnan,46,564,193.54,191.22,1,0.38,0,0.0,0.0
Pandit Ltd,7,552,237.94,224.21,0,-0.88,0,0.0,0.0
"Dyal, Bobal and Sheth",4,707,384.48,373.88,0,-0.42,1,63.32,10.96
"Dugal, Loke and Mander",16,588,20.05,34.85,0,0.51,0,0.0,0.0
Sachdev-Khosla,37,655,478.49,284.16,0,0.29,0,0.0,0.0
"Loyal, Thaman and Bansal",12,889,426.38,449.89,0,-0.68,0,0.0,0.0
Bobal LLC,2,778,332.02,323.03,0,-0.83,0,0.0,0.0
"Char, Naik and Palan",32,604,237.29,230.02,0,-0.26,1,29.57,9.98
